EQUIPMENT,ORGANIZATION,YEAR MADE,QUANTITY,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2013,30,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2014,30,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2015,6,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,VICE CHIEF OF THE DEFENCE STAFF,2015,1,,,,,
BOMBARDIER SKANDIC TUNDRA SNOWMOBILE,CANADIAN ARMY,2010,6,,,,,
BOMBARDIER SKANDIC TUNDRA SNOWMOBILE,CANADIAN ARMY,2011,10,,,,,
BOMBARDIER TRAXTER ATV,CANADIAN ARMY,2002,2,,,,,
BOMBARDIER TRAXTER ATV,CANADIAN ARMY,2003,2,,,,,
BOMBARDIER TRAXTER ATV,CANADIAN ARMY,2004,2,,,,,
BOMBARDIER TRAXTER ATV,CANADIAN ARMY,2005,37,,,,,
BOMBARDIER TRAXTER ATV,CANADIAN FORCE SUPPLY DEPOT,2003,4,,,,,
BOMBARDIER TRAXTER ATV,ROYAL CANADIAN AIRFORCE,2002,1,,,,,
BOMBARDIER TUNDRA SKI-DOO,CANADIAN ARMY,2013,6,,,,,
BOMBARDIER TUNDRA SKI-DOO,CANADIAN FORCE SUPPLY DEPOT,2008,1,,,,,
BOMEGA 13 WHLD TOWED ROLLER,ASSISTANT DEPUTY MINISTER (MATERIEL),1993,1,,,,,
BRIASSISTANT DEPUTY MINISTER (MATERIEL)ING TRUCK,CANADIAN ARMY,1989,48,,,,,
BRIASSISTANT DEPUTY MINISTER (MATERIEL)ING TRUCK,ROYAL CANADIAN AIRFORCE,1989,1,,,,,
BRI-MAR FLAT-BED TRAILER,CANADIAN ARMY,2008,1,,,,,
BRI-MAR LOW-BED TRAILER,CANADIAN FORCE SUPPLY DEPOT,2008,1,,,,,
BRI-MAR LOW-BED TRAILER 4000KG,ROYAL CANADIAN NAVY,2015,2,,,,,
BRI-MAR LOW-BED TRAILER 4000KG,ROYAL CANADIAN NAVY,2016,2,,,,,
BRI-MAR LOW-BED TRAILER 4500KG,ROYAL CANADIAN NAVY,2016,2,,,,,
