ÉQUIPEMENT,ORGANISATION,ANNÉE FRABRIQUÉ ,QUANTITÉ,,,,,
CARGO TRAILER VAN 2000KG 4.5M,ARMÉE CANADIENNE,2012,1,,,,,
CARGO TRAILER VAN 2000KG 4.5M,ARMÉE CANADIENNE,2014,1,,,,,
CARGO TRAILER VAN 3000KG 3M,ARMÉE CANADIENNE,2011,2,,,,,
CARGO TRUCK,ARMÉE CANADIENNE,1989,207,,,,,
CARGO TRUCK,ARMÉE CANADIENNE,Inconnu,373,,,,,
CARGO TRUCK 1 3/4T 4X4,ARMÉE CANADIENNE,2012,2,,,,,
CARGO TRUCK 1 3/4T 4X4,ARMÉE CANADIENNE,2013,7,,,,,
CARGO TRUCK 2 1/2T,ARMÉE CANADIENNE,Inconnu,1,,,,,
CARGO TRUCK 2 1/2T 6X6,ARMÉE CANADIENNE,1983,1,,,,,
CARGOTEC TRACTOR 50T,ARMÉE CANADIENNE,2012,1,,,,,
CASE DOZER,ARMÉE CANADIENNE,2009,1,,,,,
CASE FARMALL WHLD TRACTOR,ARMÉE CANADIENNE,2005,2,,,,, 
CASE FARMALL WHLD TRACTOR,ARMÉE CANADIENNE,2007,2,,,,,
CASE FARMALL WHLD TRACTOR,ARMÉE CANADIENNE,2008,1,,,,,
CASE FULL TRACKED TRACTOR,ARMÉE CANADIENNE,2013,8,,,,,
CASE MOTORIZED ROLLER,ARMÉE CANADIENNE,2010,1,,,,,
CASE MOTORIZED ROLLER,ARMÉE CANADIENNE,2013,1,,,,,
CASE SKID STEER LOADER,ARMÉE CANADIENNE,2013,2,,,,,
CASE SKID STEER LOADER,ARMÉE CANADIENNE,2015,1,,,,,
CASE SUPER LOADER,ARMÉE CANADIENNE,2012,2,,,,,
CASE TRACKED EXCAVATOR,ARMÉE CANADIENNE,2007,2,,,,,
CASE TRACKED EXCAVATOR,ARMÉE CANADIENNE,2008,1,,,,,
CASE TRACKED EXCAVATOR,ARMÉE CANADIENNE,2011,1,,,,,
CASE WHLD LOADER 4X4,ARMÉE CANADIENNE,2012,5,,,,,
